Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curva,alpha_fuzzy,radio_curva
S,40,43.50,13.10,16.25,16.37,0.00,35.00,453.04,-104.85,14.88,0.06,0.04
L,40,48.20,24.90,20.00,19.90,-0.00,0.00,535.50,22.46,13.92,0.99,0.04
S,40,44.90,13.10,16.24,16.35,0.00,35.00,452.51,-105.93,15.64,0.06,0.04
L,40,51.40,24.90,20.00,20.31,-0.07,0.00,525.48,140.73,24.96,0.99,0.05
S,40,42.70,13.10,16.24,16.39,0.00,35.00,450.83,-103.62,16.40,0.06,0.04
L,40,48.10,24.90,20.00,20.14,-0.06,0.00,528.08,45.88,21.17,0.99,0.03
S,40,42.40,13.10,16.25,16.52,0.00,35.00,446.87,-107.14,17.03,0.06,0.04
L,40,51.20,24.90,20.00,20.02,-0.00,0.00,530.45,-163.08,11.76,0.99,0.00
S,40,42.60,13.10,16.25,16.43,0.00,35.00,447.71,-106.39,17.06,0.06,0.04
L,40,50.40,24.90,20.00,19.93,0.01,0.00,532.73,-120.41,7.01,0.99,0.01
S,40,44.00,13.10,16.26,16.22,0.00,35.00,452.26,-105.15,17.38,0.06,0.04
L,40,50.60,24.90,20.00,19.99,0.01,0.00,531.57,-91.12,10.23,0.99,0.03
S,40,44.00,13.10,16.26,16.06,-0.00,35.00,456.75,-95.49,17.43,0.06,0.04
L,40,52.80,24.90,20.00,20.04,0.01,0.00,530.24,-92.51,13.86,0.99,0.03
S,40,46.60,13.10,16.26,15.73,-0.00,35.00,466.55,-100.17,17.55,0.06,0.04
L,40,59.70,24.90,20.00,20.19,0.01,0.00,526.17,-105.22,15.73,0.99,0.04
S,40,45.00,13.10,16.26,16.34,-0.00,35.00,453.64,-99.75,17.23,0.06,0.04
L,40,56.30,24.90,20.00,20.00,0.08,0.00,530.05,-383.11,16.80,0.99,0.04
S,40,47.10,13.10,16.26,16.00,-0.00,35.00,462.03,-93.05,17.42,0.06,0.04
L,40,59.10,24.90,20.00,19.85,0.01,0.00,534.02,3.84,20.18,0.99,0.06
S,40,43.30,13.10,16.25,16.22,-0.00,35.00,457.63,-93.62,16.99,0.06,0.04
L,40,62.50,24.90,20.00,19.93,-0.01,0.00,532.83,-54.06,27.85,0.99,0.06
S,40,44.20,13.10,16.24,16.30,-0.00,35.00,455.30,-89.40,16.52,0.06,0.04
L,40,67.00,24.90,20.00,20.02,-0.01,0.00,530.68,-78.91,25.35,0.99,0.04
S,40,44.80,13.10,16.23,16.54,-0.01,35.00,448.46,-86.51,16.12,0.06,0.03
L,40,66.00,24.90,20.00,20.06,-0.01,0.00,529.50,-85.64,21.67,0.99,0.03
S,40,45.10,13.10,16.24,16.57,-0.01,35.00,446.03,-81.62,15.62,0.06,0.03
L,40,66.60,24.90,20.00,20.04,-0.01,0.00,529.82,-73.53,19.51,0.99,0.03
S,40,45.80,13.10,16.25,16.45,-0.01,35.00,447.58,-79.75,14.92,0.06,0.03
L,40,67.60,24.90,20.00,19.93,-0.01,0.00,532.46,-79.99,18.33,0.99,0.03
S,40,44.60,13.10,16.26,15.61,-0.01,35.00,468.45,-74.98,14.64,0.06,0.03
L,40,67.50,24.90,20.00,19.70,-0.01,0.00,538.92,-77.20,17.73,0.99,0.03
S,40,46.20,13.10,16.27,16.49,-0.01,35.00,449.56,-77.54,14.00,0.06,0.03
L,40,67.40,24.90,20.00,19.73,-0.01,0.00,539.75,-83.53,17.30,0.99,0.03
S,40,44.70,13.10,16.28,16.59,-0.01,35.00,446.08,-75.70,13.64,0.06,0.03
L,40,66.80,24.90,20.00,19.76,-0.01,0.00,540.61,-76.15,16.80,0.99,0.03
S,40,44.50,13.10,16.29,16.34,-0.01,35.00,450.99,-66.86,13.23,0.06,0.03
L,40,67.50,24.90,20.00,19.84,0.00,0.00,539.92,-101.09,16.61,0.99,0.03
S,40,42.80,13.10,16.31,15.81,-0.01,35.00,465.12,-67.12,12.50,0.07,0.03
L,40,64.30,24.90,20.00,20.07,0.01,0.00,534.74,-110.69,16.32,0.99,0.03
S,40,42.20,13.10,16.32,16.46,-0.01,35.00,451.30,-70.87,12.19,0.07,0.03
L,40,63.40,24.90,20.00,20.06,0.01,0.00,534.53,-111.27,17.30,0.99,0.04
S,40,42.40,13.10,16.32,16.54,-0.01,35.00,448.43,-76.87,12.15,0.07,0.03
L,40,62.10,24.90,20.00,20.20,0.01,0.00,530.69,-107.21,18.19,0.99,0.04
S,40,41.40,13.10,16.33,16.44,-0.00,35.00,450.10,-83.97,11.82,0.07,0.03
L,40,64.90,24.90,20.00,20.33,0.01,0.00,526.14,-118.10,19.26,0.99,0.04
S,40,39.80,13.10,16.33,16.33,0.00,35.00,452.14,-89.07,11.96,0.07,0.03
L,40,64.90,24.90,20.00,20.37,0.01,0.00,523.23,-126.55,19.92,0.99,0.04
S,40,39.50,13.10,16.32,16.27,0.00,35.00,453.48,-94.33,12.32,0.07,0.03
L,40,63.20,24.90,20.00,20.22,0.01,0.00,524.92,-119.12,20.71,0.99,0.04
S,40,40.30,13.10,16.30,16.35,0.00,35.00,451.18,-94.68,12.84,0.07,0.03
L,40,62.40,24.90,20.00,20.15,0.01,0.00,525.55,-116.51,21.30,0.99,0.04
S,40,39.30,13.10,16.27,16.38,0.00,35.00,449.31,-98.36,14.17,0.06,0.03
L,40,60.60,24.90,20.00,20.13,0.01,0.00,525.18,-112.04,21.91,0.99,0.04
S,40,39.50,13.10,16.25,16.37,0.01,35.00,448.53,-98.43,14.80,0.06,0.03
L,40,55.10,24.90,20.00,19.95,0.00,0.00,529.20,-108.80,22.37,0.99,0.04
S,40,37.80,13.10,16.24,16.38,0.01,35.00,447.44,-101.46,15.13,0.06,0.04
L,40,52.30,24.90,20.00,19.98,0.00,0.00,528.67,-109.05,22.42,0.99,0.04
S,40,39.00,13.10,16.23,15.99,0.01,35.00,456.40,-105.27,15.81,0.06,0.04
L,40,47.40,24.90,20.00,19.97,0.00,0.00,528.90,-104.80,22.03,0.99,0.04
S,40,35.30,13.10,16.24,16.49,0.01,35.00,444.96,-111.16,16.40,0.06,0.04
L,40,41.10,24.90,20.00,20.00,0.00,0.00,528.31,-102.47,21.76,0.99,0.04
S,40,34.70,13.10,16.25,16.20,0.01,35.00,451.46,-107.97,16.97,0.06,0.04
L,40,80.00,24.90,20.00,19.96,-0.00,0.00,529.37,-99.42,21.48,0.99,0.04
S,40,33.80,13.10,16.27,16.29,0.01,35.00,449.65,-111.55,17.63,0.06,0.04
L,40,80.00,24.90,20.00,19.87,-0.00,0.00,532.01,-101.08,20.82,0.99,0.04
S,40,33.70,13.10,16.27,16.24,0.01,35.00,451.02,-109.54,17.68,0.06,0.04
L,40,80.00,24.90,20.00,19.91,-0.00,0.00,531.64,-97.48,20.28,0.99,0.04
S,40,32.90,13.10,16.28,16.31,0.01,35.00,449.51,-111.54,18.14,0.06,0.04
L,40,21.80,24.90,20.00,19.70,-0.00,0.00,537.59,-90.51,19.85,0.99,0.04
S,40,33.90,13.10,16.28,16.23,0.01,35.00,451.52,-111.99,18.08,0.06,0.04
L,40,15.80,24.90,20.00,19.73,-0.01,0.00,538.67,-88.83,19.64,0.99,0.04
S,40,34.00,13.10,16.28,16.26,0.01,35.00,451.03,-113.76,18.18,0.06,0.04
L,40,17.70,24.90,20.00,19.82,-0.01,0.00,537.86,-70.36,19.22,0.99,0.03
S,40,31.60,13.10,16.29,16.26,0.01,35.00,451.35,-114.33,18.44,0.06,0.04
L,40,19.70,24.90,20.00,19.94,-0.06,0.00,535.72,112.22,18.63,0.99,0.03
S,40,36.30,13.10,16.29,16.58,0.00,35.00,443.32,-107.24,18.51,0.06,0.04
L,40,5.40,24.90,20.00,19.99,-0.06,0.00,534.89,52.88,16.37,0.99,0.02
S,40,36.30,13.10,16.28,16.00,0.00,35.00,456.43,-108.73,18.14,0.06,0.04
L,40,80.00,24.90,20.00,20.04,-0.06,0.00,533.68,63.89,9.33,0.99,0.00
S,40,32.30,13.10,16.27,16.28,0.01,35.00,450.51,-115.78,17.82,0.06,0.04
L,40,22.10,24.90,20.00,19.82,-0.07,0.00,539.19,78.89,3.50,0.99,0.01
S,40,32.30,13.10,16.27,16.35,0.00,35.00,448.66,-113.31,17.91,0.06,0.04
L,40,12.30,24.90,20.00,20.18,-0.07,0.00,530.75,101.05,2.31,0.99,0.01
S,40,33.30,13.10,16.28,16.36,0.00,35.00,448.21,-110.13,18.27,0.06,0.04
L,40,80.00,24.90,20.00,19.70,-0.07,0.00,542.22,121.29,5.65,0.99,0.02
S,40,35.00,13.10,16.29,16.22,0.00,35.00,451.62,-106.95,18.42,0.06,0.04
L,40,6.50,24.90,20.00,19.81,-0.08,0.00,541.06,146.86,9.27,0.99,0.03
S,40,31.90,13.10,16.29,16.30,0.00,35.00,449.92,-104.69,18.54,0.06,0.04
L,40,80.00,24.90,20.00,20.59,-0.13,0.00,521.72,355.23,13.57,0.99,0.04
S,40,27.10,13.10,20.89,16.18,-0.00,35.00,573.04,-99.05,17.95,0.29,0.04
L,40,23.90,24.90,20.00,20.15,-0.19,0.00,529.80,521.43,20.28,0.99,0.07
S,41,23.60,13.10,23.06,16.73,-0.00,33.07,643.82,-98.04,17.65,0.45,0.04
L,40,28.00,24.90,20.00,20.61,-0.13,0.00,517.00,237.59,32.88,0.50,0.06
S,40,27.40,13.10,20.12,18.21,-0.00,35.00,565.27,-94.78,17.68,0.26,0.04
L,40,53.50,24.90,20.00,20.57,0.05,0.00,514.58,-322.51,46.96,0.50,0.10
S,40,80.00,13.10,16.26,19.75,-0.00,35.00,435.17,-94.68,17.41,0.06,0.03
L,40,56.00,24.90,20.00,19.79,0.02,0.00,531.49,50.71,42.96,0.50,0.01
S,40,25.20,13.10,23.13,20.03,-0.00,35.00,587.00,-92.72,16.97,0.41,0.03
L,40,54.60,24.90,20.00,20.18,-0.20,0.00,522.50,816.82,23.66,0.99,0.01
S,40,29.00,13.10,16.24,19.77,-0.01,35.00,431.71,-66.14,16.41,0.06,0.03
L,40,55.00,24.90,20.00,19.01,-0.21,0.00,551.97,582.22,20.36,0.99,0.12
S,40,27.70,13.10,18.94,19.28,-0.01,35.00,494.74,-88.81,15.30,0.20,0.03
L,40,55.10,24.90,20.00,18.25,-0.19,0.00,577.72,517.45,39.58,0.50,0.08
S,40,30.90,13.10,16.26,18.67,-0.01,35.00,438.56,-81.47,14.63,0.06,0.03
L,40,55.70,24.90,20.00,18.41,0.06,0.00,583.73,-351.04,55.58,0.50,0.12
S,40,32.40,13.10,16.28,18.38,-0.01,35.00,432.59,-75.36,13.66,0.06,0.03
L,40,55.20,24.90,20.00,18.96,0.09,0.00,578.56,-87.60,59.60,0.50,0.12
S,40,34.40,13.10,16.29,16.44,-0.01,35.00,471.41,-83.05,13.28,0.06,0.03
L,40,54.30,24.90,20.00,19.81,0.07,0.00,562.38,28.24,37.99,0.50,0.06
S,40,36.20,13.10,16.29,16.63,-0.01,35.00,465.42,-84.02,13.34,0.06,0.03
L,40,55.00,24.90,20.00,20.44,-0.10,0.00,547.17,572.86,20.13,0.99,0.03
L,40,53.60,24.90,20.00,20.49,-0.11,0.00,543.15,391.78,16.77,0.99,0.04
L,40,52.00,24.90,20.00,20.41,-0.05,0.00,542.50,183.43,30.81,0.50,0.08
S,40,38.40,13.10,16.29,16.88,-0.00,35.00,457.28,-87.11,13.09,0.06,0.03
S,40,38.10,13.10,16.29,16.99,-0.00,35.00,450.81,-90.69,13.21,0.06,0.03
S,40,44.70,13.10,16.28,16.58,0.00,35.00,457.02,-98.72,13.68,0.06,0.03
L,40,52.10,24.90,20.00,20.43,0.07,0.00,539.50,-171.77,42.45,0.50,0.09
S,40,43.70,13.10,16.27,16.56,0.00,35.00,455.73,-100.38,13.93,0.06,0.04
L,40,51.50,24.90,20.00,20.53,0.08,0.00,534.48,-25.55,39.58,0.50,0.05
S,40,48.80,13.10,16.25,16.67,0.00,35.00,450.65,-98.57,14.72,0.06,0.04
L,40,50.60,24.90,20.00,20.44,0.07,0.00,533.63,9.20,24.54,0.99,0.01
S,40,48.80,13.10,16.24,16.54,0.00,35.00,451.18,-100.34,15.45,0.06,0.04
L,40,50.40,24.90,20.00,20.30,0.04,0.00,534.87,96.08,14.07,0.99,0.00
S,40,49.90,13.10,16.23,16.56,0.00,35.00,448.78,-98.02,15.69,0.06,0.04
L,40,49.90,24.90,20.00,20.12,0.04,0.00,537.66,43.83,8.90,0.99,0.01
S,40,46.60,13.10,16.23,16.53,0.00,35.00,447.72,-96.28,16.15,0.06,0.04
L,40,49.60,24.90,20.00,20.02,0.07,0.00,539.56,-76.87,8.29,0.99,0.02
S,40,46.50,13.10,16.23,16.03,0.00,35.00,459.13,-96.03,16.23,0.06,0.04
L,40,49.60,24.90,20.00,19.79,0.08,0.00,545.42,-73.40,6.42,0.99,0.00
S,40,41.70,13.10,16.23,16.61,0.00,35.00,445.14,-99.49,16.26,0.06,0.04
L,40,48.60,24.90,20.00,19.85,0.08,0.00,545.05,-90.48,1.31,0.99,0.01
S,40,38.30,13.10,16.24,16.28,0.00,35.00,451.74,-98.62,16.49,0.06,0.04
L,40,47.60,24.90,20.00,19.83,0.09,0.00,546.45,-117.91,3.37,0.99,0.02
S,40,33.50,13.10,16.24,16.28,0.00,35.00,451.50,-101.55,16.64,0.06,0.04
L,40,46.90,24.90,20.00,19.90,0.09,0.00,545.75,-149.20,7.44,0.99,0.03
S,40,31.30,13.10,16.24,16.41,0.00,35.00,447.81,-103.74,16.55,0.06,0.04
L,40,47.20,24.90,20.00,20.06,0.10,0.00,542.09,-172.92,11.46,0.99,0.04
S,40,30.30,13.10,16.24,16.31,0.00,35.00,449.49,-103.12,16.64,0.06,0.04
L,40,44.80,24.90,20.00,20.02,0.10,0.00,542.75,-180.12,16.02,0.99,0.04
S,40,27.50,13.10,19.74,16.52,0.00,35.00,535.01,-101.78,16.90,0.24,0.04
L,40,44.90,24.90,20.00,20.41,0.10,0.00,532.38,-209.63,20.83,0.99,0.05
S,41,26.80,13.10,21.32,16.50,0.00,35.00,596.27,-103.15,16.73,0.32,0.04
L,40,45.00,24.90,20.00,20.58,0.10,0.00,525.67,-210.17,25.01,0.99,0.06
S,40,26.40,13.10,21.86,17.74,0.00,35.00,606.04,-109.41,17.23,0.34,0.04
L,40,44.00,24.90,20.00,20.84,0.09,0.00,515.47,-214.78,29.31,0.98,0.07
S,40,25.80,13.10,22.71,19.36,0.01,35.00,610.02,-114.49,17.43,0.39,0.04
L,40,43.30,24.90,20.00,19.93,0.08,0.00,534.41,-212.99,33.24,0.50,0.07
S,40,25.90,13.10,22.65,20.44,0.01,35.00,599.38,-128.14,18.03,0.38,0.03
L,40,43.40,24.90,20.00,20.08,0.08,0.00,530.86,-230.10,35.41,0.50,0.07
S,40,25.50,13.10,22.96,21.55,0.01,35.00,591.33,-136.65,18.96,0.40,0.03
L,40,44.60,24.90,20.00,20.01,0.07,0.00,532.16,-219.34,37.13,0.50,0.07
S,41,26.00,13.10,22.73,22.13,0.02,35.00,578.52,-141.81,19.65,0.39,0.04
L,40,43.90,24.90,20.00,20.19,0.03,0.00,527.55,-98.16,38.26,0.50,0.08
S,40,26.10,13.10,22.87,22.09,0.02,35.00,586.63,-150.73,21.22,0.39,0.04
L,40,44.60,24.90,20.00,20.22,0.02,0.00,525.50,-130.32,36.83,0.50,0.06
S,40,26.20,13.10,23.06,22.13,0.02,35.00,595.19,-151.77,22.70,0.40,0.04
L,40,44.80,24.90,20.00,19.76,-0.05,0.00,536.23,137.32,32.97,0.50,0.05
S,40,25.10,13.10,23.79,22.12,0.02,35.00,619.93,-165.56,23.90,0.44,0.04
L,40,45.20,24.90,20.00,19.92,0.03,0.00,533.56,-260.63,26.57,0.99,0.01
S,40,26.10,13.10,23.52,22.43,0.02,35.00,614.43,-157.73,24.44,0.43,0.04
L,40,44.80,24.90,20.00,19.84,0.06,0.00,536.07,-272.15,19.32,0.99,0.04
S,40,25.60,13.10,23.89,22.91,0.02,35.00,617.90,-161.04,25.08,0.44,0.04
L,40,45.00,24.90,20.00,20.03,0.06,0.00,531.93,-228.85,23.13,0.99,0.07
S,40,14.90,13.10,7.76,23.11,0.02,7.20,197.43,-163.31,25.83,0.93,0.04
L,40,44.70,24.90,20.00,19.93,0.03,0.00,534.50,-114.50,29.67,0.98,0.07
S,40,15.90,13.10,11.06,21.18,0.01,10.07,244.49,-152.92,26.26,0.80,0.05
L,40,44.40,24.90,20.00,20.16,-0.05,0.00,528.84,101.12,33.77,0.50,0.06
S,40,11.00,13.10,-1.64,12.26,0.01,-5.09,86.88,-138.58,27.61,0.83,0.07
L,40,42.40,24.90,20.00,20.16,0.06,0.00,527.81,-390.88,30.37,0.50,0.06
S,40,7.70,13.10,-6.03,6.98,-0.00,-15.80,29.41,-112.84,26.53,0.68,0.10
L,40,40.00,24.90,20.00,19.96,0.07,0.00,532.29,-299.76,24.14,0.99,0.05
S,40,6.40,13.10,-2.87,9.10,-0.01,-20.44,-19.00,-93.48,25.34,0.50,0.13
L,40,37.40,24.90,20.00,20.07,0.07,0.00,529.58,-262.64,31.15,0.50,0.06
S,40,10.40,13.10,-5.83,5.78,-0.02,-8.61,-79.18,-89.66,20.72,0.88,0.17
L,40,80.00,24.90,20.00,20.15,0.06,0.00,526.97,-251.41,38.10,0.50,0.07
S,40,11.00,13.10,-5.53,2.79,-0.02,-6.95,-60.72,-78.39,15.54,0.94,0.30
L,40,80.00,24.90,20.00,20.26,0.02,0.00,523.21,-157.29,42.91,0.50,0.08
S,40,9.20,13.10,-6.28,0.70,-0.03,-12.51,-74.17,-49.88,11.52,0.77,0.30
L,40,80.00,24.90,20.00,20.30,-0.15,0.00,520.61,415.18,43.98,0.50,0.08
S,41,10.30,13.10,-6.25,-0.25,-0.11,-9.34,-90.10,245.92,8.76,0.87,0.30
L,40,80.00,24.90,20.00,20.16,-0.02,0.00,522.70,-285.83,36.73,0.50,0.05
S,40,10.70,13.10,-6.01,-0.70,-0.03,-8.24,-106.84,-158.07,3.62,0.90,0.30
L,40,80.00,24.90,20.00,19.92,0.09,0.00,527.98,-495.03,18.53,0.99,0.02
S,41,9.90,13.10,-8.26,-1.18,-0.02,-10.80,-184.84,-45.85,2.65,0.90,0.30
L,40,80.00,24.90,20.00,19.82,0.10,0.00,531.06,-355.23,21.47,0.99,0.07
S,41,7.40,13.10,-17.22,-2.00,-0.11,-18.71,-440.70,294.13,1.69,0.96,0.30
L,40,80.00,24.90,20.00,19.79,0.01,0.00,532.92,-41.33,36.62,0.50,0.11
S,40,9.80,13.10,-11.26,-3.60,-0.12,-11.75,-331.93,190.43,0.62,0.98,0.30
L,40,80.00,24.90,20.00,20.38,0.07,0.00,518.77,-401.10,45.26,0.50,0.08
S,40,9.50,13.10,-7.10,-7.00,-0.12,-12.57,-178.85,207.45,13.30,0.80,0.30
L,40,80.00,24.90,20.00,20.33,0.07,0.00,517.75,-334.74,42.96,0.50,0.09
S,40,80.00,13.10,16.37,-7.71,-0.03,35.00,452.06,-92.81,20.92,0.07,0.30
L,40,80.00,24.90,20.00,20.12,-0.02,0.00,521.33,-1.24,47.68,0.50,0.11
S,40,80.00,13.10,16.40,-5.04,0.01,35.00,522.88,-84.37,21.54,0.07,0.30
L,40,80.00,24.90,20.00,20.07,0.02,0.00,521.94,-298.92,50.12,0.50,0.09
S,40,80.00,13.10,16.28,0.01,0.01,35.00,512.62,-38.66,13.55,0.06,0.30
L,40,80.00,24.90,20.00,19.80,-0.15,0.00,528.61,382.26,43.60,0.50,0.07
S,40,80.00,13.10,24.25,6.32,0.01,35.00,650.40,-41.57,5.02,0.46,0.30
L,40,80.00,24.90,20.00,20.55,-0.07,0.00,510.15,-127.14,26.89,0.99,0.02
S,40,80.00,13.10,24.59,12.06,0.01,35.00,613.76,-47.62,1.10,0.48,0.30
L,40,80.00,24.90,20.00,19.13,0.09,0.00,543.97,-576.60,13.41,0.99,0.01
S,40,13.40,13.10,10.06,15.45,0.01,10.01,218.65,-52.30,3.88,0.99,0.01
L,40,80.00,24.90,20.00,18.59,0.15,0.00,563.17,-591.05,20.58,0.99,0.11
S,40,16.60,13.10,17.66,16.43,0.01,18.25,360.25,-55.93,5.11,0.82,0.02
L,40,80.00,24.90,20.00,19.04,0.08,0.00,559.62,-262.39,39.91,0.50,0.15
S,40,16.60,13.10,16.62,14.99,0.01,17.01,377.77,-29.55,6.62,0.80,0.02
L,40,80.00,24.90,20.00,20.37,-0.07,0.00,530.54,165.96,53.20,0.50,0.12
S,41,17.80,13.10,17.96,13.94,-0.00,19.14,450.08,-15.00,7.64,0.71,0.02
L,40,45.60,24.90,20.00,19.88,-0.07,0.00,541.10,-37.31,51.20,0.50,0.05
S,40,16.00,13.10,13.46,13.61,-0.01,13.16,364.65,2.80,6.78,0.84,0.02
L,40,42.30,24.90,20.00,19.85,-0.00,0.00,542.73,-275.69,34.91,0.50,0.02
S,40,17.70,13.10,17.27,14.00,-0.02,17.79,452.88,22.46,5.25,0.81,0.01
L,40,80.00,24.90,20.00,20.02,0.02,0.00,539.18,-246.63,26.23,0.99,0.05
S,41,19.00,13.10,21.23,14.10,-0.07,21.83,573.90,219.89,3.03,0.91,0.00
L,40,80.00,24.90,20.00,20.08,0.09,0.00,537.41,-497.26,29.61,0.98,0.07
S,40,21.90,13.10,29.42,15.21,-0.09,30.86,800.00,190.77,0.81,0.91,0.02
L,40,48.50,24.90,20.00,20.49,0.08,0.00,526.35,-369.77,36.64,0.50,0.07
S,40,23.30,13.10,23.34,18.15,-0.10,33.43,647.08,225.79,11.70,0.45,0.04
L,40,46.50,24.90,20.00,20.67,-0.02,0.00,518.74,-32.39,48.79,0.50,0.09
S,40,27.20,13.10,21.03,21.22,-0.11,35.00,536.91,268.03,20.77,0.30,0.05
L,40,37.50,24.90,20.00,20.66,-0.07,0.00,515.10,23.40,53.08,0.50,0.10
S,41,26.00,13.10,23.73,22.54,-0.17,35.00,571.87,503.49,28.54,0.44,0.07
L,40,34.70,24.90,20.00,20.35,0.06,0.00,519.25,-529.73,44.07,0.50,0.08
S,40,26.50,13.10,16.24,21.80,-0.16,35.00,402.44,423.58,42.70,0.06,0.11
L,40,80.00,24.90,20.00,19.61,0.07,0.00,536.69,-390.32,37.21,0.50,0.07
S,40,30.50,13.10,16.23,19.40,-0.09,35.00,432.56,189.35,54.82,0.06,0.14
L,40,80.00,24.90,20.00,19.47,0.06,0.00,542.61,-337.53,47.02,0.50,0.10
S,40,48.80,13.10,16.23,18.68,-0.02,35.00,433.04,43.82,58.96,0.06,0.12
L,40,80.00,24.90,20.00,19.82,0.02,0.00,536.56,-212.69,54.17,0.50,0.11
S,40,49.50,13.10,16.23,17.77,-0.01,35.00,442.51,149.55,52.17,0.06,0.09
L,40,80.00,24.90,20.00,19.94,-0.05,0.00,534.34,-26.20,57.32,0.50,0.11
S,40,49.20,13.10,16.24,17.26,-0.01,35.00,447.12,139.44,41.27,0.06,0.06
L,40,21.70,24.90,20.00,20.16,-0.11,0.00,528.94,116.31,52.70,0.50,0.08
S,40,50.50,13.10,16.55,16.66,-0.01,35.00,465.02,153.39,34.13,0.08,0.06
L,40,26.20,24.90,20.00,20.08,-0.15,0.00,530.19,156.81,39.30,0.50,0.03
S,40,49.80,13.10,16.79,16.57,-0.01,35.00,472.78,150.73,29.73,0.09,0.07
L,40,30.50,24.90,20.00,20.00,0.02,0.00,531.79,-458.35,23.03,0.99,0.01
S,40,50.30,13.10,16.66,16.52,-0.01,35.00,472.22,160.43,27.35,0.08,0.06
L,40,26.00,24.90,20.00,18.78,-0.08,0.00,563.59,115.54,18.31,0.99,0.03
S,40,50.10,13.10,16.62,16.61,-0.01,35.00,469.52,161.10,26.51,0.08,0.06
L,40,28.90,24.90,20.00,21.27,-0.13,0.00,505.60,190.07,20.77,0.99,0.05
S,40,49.90,13.10,16.60,17.03,-0.01,35.00,458.28,154.00,26.13,0.08,0.06
L,40,23.70,24.90,20.00,19.08,0.02,0.00,555.38,-416.93,11.50,0.99,0.00
S,40,49.60,13.10,16.64,17.62,-0.01,35.00,441.20,152.66,26.84,0.08,0.06
L,40,29.20,24.90,20.00,19.05,0.02,0.00,561.60,-208.29,9.83,0.99,0.04
S,40,49.60,13.10,16.65,16.68,-0.01,35.00,460.31,145.34,27.10,0.08,0.06
L,40,34.10,24.90,20.00,19.71,-0.04,0.00,549.83,36.29,20.38,0.99,0.05
S,40,50.30,13.10,16.65,16.53,-0.00,35.00,464.05,137.10,27.13,0.08,0.06
L,40,18.60,24.90,20.00,19.94,-0.06,0.00,545.68,-8.78,23.58,0.99,0.04
S,40,49.00,13.10,16.63,16.62,0.00,35.00,461.77,122.90,26.63,0.08,0.06
L,40,18.20,24.90,20.00,20.66,-0.06,0.00,527.23,-5.44,19.34,0.99,0.03
S,40,48.50,13.10,16.58,16.57,0.01,35.00,461.98,108.97,25.62,0.08,0.06
L,40,20.20,24.90,20.00,20.30,-0.21,0.00,532.82,544.29,14.26,0.99,0.02
S,40,47.60,13.10,16.54,16.27,0.02,35.00,468.80,93.45,24.89,0.08,0.05
L,40,24.30,24.90,20.00,20.03,-0.05,0.00,538.16,-206.34,3.50,0.99,0.05
S,40,47.70,13.10,16.47,16.54,0.02,35.00,461.39,70.32,23.21,0.07,0.05
L,40,26.60,24.90,20.00,20.03,0.02,0.00,537.94,-248.48,13.98,0.99,0.03
S,40,46.40,13.10,16.39,16.57,0.08,35.00,458.21,-122.92,21.26,0.07,0.04
L,40,80.00,24.90,20.00,20.06,0.02,0.00,536.84,-126.99,8.44,0.99,0.02
S,40,46.10,13.10,16.25,16.49,0.09,35.00,455.39,-86.45,16.86,0.06,0.00
L,40,80.00,24.90,20.00,19.93,-0.04,0.00,539.86,96.53,4.18,0.99,0.04
S,40,46.50,13.10,18.17,16.56,0.09,35.00,502.36,-89.34,8.14,0.16,0.02
L,40,80.00,24.90,20.00,20.27,-0.05,0.00,531.58,43.75,9.94,0.99,0.02
S,40,45.30,13.10,24.59,16.74,0.09,35.00,674.64,-110.83,1.09,0.48,0.00
L,40,15.70,24.90,20.00,20.37,-0.05,0.00,527.42,35.20,6.82,0.99,0.01
S,40,45.80,13.10,19.77,17.79,0.09,35.00,566.97,-126.98,7.91,0.24,0.02
L,40,26.20,24.90,20.00,20.36,-0.05,0.00,525.35,31.43,3.53,0.99,0.01
L,40,22.90,24.90,20.00,20.10,-0.04,0.00,530.17,30.98,0.79,0.99,0.00
S,40,45.70,13.10,16.33,19.25,0.14,35.00,450.71,-338.60,11.90,0.07,0.02
S,40,44.60,13.10,16.26,19.73,0.09,35.00,419.26,-104.68,17.22,0.06,0.04
L,40,23.20,24.90,20.00,20.07,-0.04,0.00,530.39,36.61,0.59,0.99,0.00
S,40,44.90,13.10,16.61,19.17,0.08,35.00,422.85,-148.61,26.23,0.08,0.06
L,40,20.00,24.90,20.00,20.12,0.02,0.00,528.71,-163.00,1.63,0.99,0.00
S,40,44.10,13.10,16.66,18.06,0.08,35.00,438.22,-166.78,27.26,0.08,0.06
L,40,27.70,24.90,20.00,20.04,-0.04,0.00,530.07,133.77,0.93,0.99,0.00
S,40,43.60,13.10,16.64,15.96,0.03,35.00,484.35,2.99,26.91,0.08,0.06
L,40,80.00,24.90,20.00,20.40,-0.05,0.00,520.40,76.78,3.07,0.99,0.01
S,40,42.40,13.10,16.51,16.67,0.03,35.00,466.34,-77.45,24.10,0.08,0.06
L,40,80.00,24.90,20.00,20.47,-0.04,0.00,516.23,47.21,0.01,0.99,0.01
S,40,42.70,13.10,16.31,16.83,0.08,35.00,456.07,-273.35,19.08,0.07,0.04
L,40,80.00,24.90,20.00,20.30,0.02,0.00,517.99,-157.67,3.20,0.99,0.02
